Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,TotalIncome,TotalIncomeByPerson,Cuota,%Cuota,log_ApplicantIncome,log_TotalIncome,Loan_Status
0.0,0.11370803134741551,0.05599155206758346,0.17510853835021706,0.7297297297297298,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.13694273700973963,0.17197566306215534,0.07852044127190136,0.03575570246012905,0.4461960754186922,0.46998530095685176,0
0.0,0.0355198566700434,0.07768737850097199,0.2445730824891461,0.7297297297297298,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.09574581718957866,0.1279272591354362,0.10966904607397794,0.06894552129505717,0.22379957387228533,0.38911005919476604,1
0.3333333333333333,0.029778241382316346,0.058463532291741664,0.1765557163531114,0.7297297297297298,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.07166370495528301,0.0451515607722616,0.0791693705386113,0.061638345008497804,0.19770026212851333,0.3290022244544559,0
0.0,0.08653305637304243,0.0,0.14761215629522428,0.7297297297297298,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05836028005166001,0.08795404637930924,0.06619078520441271,0.059487640631790385,0.3870006963580588,0.28966922644424375,0
0.0,0.09401819881620493,0.08272733818129455,0.20549927641099852,0.7297297297297298,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14808556918266474,0.18388975699401397,0.09214795587280987,0.039521719990928704,0.4045910084626536,0.48852581014833296,0
0.0,0.12122323460360275,0.0,0.13603473227206944,0.7297297297297298,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08637515658228216,0.11790799931474466,0.060999351070733294,0.0408289669671767,0.4605786818359885,0.36715163056051203,1
0.6666666666666666,0.031972680733123024,0.039167686658506735,0.150506512301013,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.053917712976180074,0.01981788827227464,0.0491563919532771,0.04655853205745385,0.20796420701633656,0.2752740437382206,0
0.0,0.08226442092352808,0.047999616003071975,0.1606367583212735,0.7297297297297298,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.10346568784533068,0.13618146800325984,0.07203114860480207,0.04181793760185474,0.3764519801634192,0.40604863292212556,0
0.3333333333333333,0.09080169182255679,0.0,0.059334298118668596,0.4594594594594595,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.06180751789164991,0.03988236454531759,0.0428293316028553,0.03677797893900509,0.3971669126629873,0.3003749134096494,0
0.0,0.033535843010409974,0.09799121607027143,0.21852387843704774,0.7297297297297298,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.11468134898670627,0.14817343183009793,0.09798831927319922,0.05290967603868084,0.21505294925195173,0.42904572358349613,0
